1,AAPL,704402,stocks
2,TSLA,688152,stocks
3,AMZN,431365,stocks
4,META,380791,stocks
5,NFLX,359778,stocks
6,AMD,345125,stocks
7,SPY,341176,etf
8,MSFT,331358,stocks
9,AMC,309716,stocks
10,NIO,301005,stocks
11,BABA,295667,stocks
12,NVDA,287959,stocks
13,TWTR,252698,unavailable
14,DIS,228524,stocks
15,GME,213053,stocks
16,GOOG,209705,stocks
17,SNDL,189316,stocks
18,SNAP,180339,stocks
19,PLTR,168215,stocks
20,CCIV,150635,unavailable
21,BA,150210,stocks
22,PLUG,144824,stocks
23,SQ,142734,stocks
24,GE,135454,stocks
25,BB,133402,stocks
26,F,132342,stocks
27,OCGN,132095,stocks
28,ZOM,131657,stocks
29,TLRY,120475,stocks
30,FCEL,119773,stocks
31,WKHS,118809,stocks
32,MU,118767,stocks
33,BAC,115948,stocks
34,SPCE,114860,stocks
35,ACB,112123,stocks
36,GEVO,110821,stocks
37,GOOGL,109334,stocks
38,IDEX,107433,stocks
39,BNGO,104001,stocks
40,NAKD,103609,unavailable
41,NOK,103549,stocks
42,INTC,100627,stocks
43,ROKU,99870,stocks
44,MARA,97487,stocks
45,GNUS,96979,stocks
46,IBIO,95192,stocks
47,WMT,93800,stocks
48,INO,93637,stocks
49,CTRM,92854,stocks
50,AAL,92215,stocks
51,RIOT,89791,stocks
52,SBUX,89424,stocks
53,SOS,88263,stocks
54,SHOP,87516,stocks
55,PYPL,87408,stocks
56,GPRO,86933,stocks
57,T,86478,stocks
58,NKLA,85334,stocks
59,MVIS,85261,stocks
60,NKE,84529,stocks
61,UBER,82152,stocks
62,DKNG,82085,stocks
63,CGC,78969,stocks
64,NVAX,78620,stocks
65,MRNA,76999,stocks
66,BYND,76512,stocks
67,CLOV,76464,stocks
68,JNUG,76036,etf
69,TOPS,75512,stocks
70,VXRT,75446,stocks
71,JAGX,75440,stocks
72,XSPA,74868,unavailable
73,GILD,72642,stocks
74,COIN,70304,stocks
75,V,69974,stocks
76,SRNE,69682,unavailable
77,CCL,69215,stocks
78,PFE,68396,stocks
79,FSR,68282,stocks
80,NNDM,68170,stocks
81,XOM,68030,stocks
82,DAL,67014,stocks
83,CRON,66949,stocks
84,VISL,66912,stocks
85,JPM,66541,stocks
86,TNXP,66241,stocks
87,ATOS,65240,stocks
88,GLD,64412,etf
89,CHK,61387,stocks
90,INPX,60127,stocks
91,ZM,59410,stocks
92,RKT,57797,stocks
93,TMBR,57315,stocks
94,BIOC,56207,stocks
95,FUBO,56106,stocks
96,UAVS,55391,stocks
97,HTBX,54560,unavailable
98,DPW,53852,unavailable
99,ASXC,53683,stocks
100,BIDU,53668,stocks
101,JD,52864,stocks
102,CSCO,52342,stocks
103,CEI,51931,stocks
104,ONTX,51010,stocks
105,ATVI,50989,stocks
106,SENS,49743,stocks
107,WFC,49235,stocks
108,IBM,47294,stocks
109,SOLO,46945,stocks
110,NAK,46937,stocks
111,QCOM,46900,stocks
112,AYTU,46086,stocks
113,CRM,45996,stocks
114,XPEV,45906,stocks
115,NVCN,45763,unavailable
116,CMG,45683,stocks
117,GSAT,45493,stocks
118,BLNK,45423,stocks
119,SHIP,44799,stocks
120,NOVN,44769,stocks
121,RIDE,44513,stocks
122,UAA,44299,stocks
123,OGEN,43943,stocks
124,QS,43418,stocks
125,HEXO,43380,stocks
126,VZ,43112,stocks
127,HYLN,42769,stocks
128,BHC,42588,stocks
129,SLS,42401,stocks
130,GM,41414,stocks
131,CHPT,41344,stocks
132,JNJ,40720,stocks
133,TTOO,40577,stocks
134,MNKD,40371,stocks
135,AVGR,40350,stocks
136,MARK,39615,stocks
137,ARKK,39458,etf
138,AUPH,39384,stocks
139,MYMD,39349,stocks
140,SINT,39226,stocks
141,SLV,39010,etf
142,OPTT,38491,stocks
143,RBLX,38408,stocks
144,QLGN,38328,stocks
145,NSPR,38262,stocks
146,SKLZ,38061,stocks
147,KODK,38054,stocks
148,TWLO,37718,stocks
149,GHSI,37308,stocks
150,KO,37292,stocks
151,COST,37066,stocks
152,ABNB,37063,stocks
153,PINS,37022,stocks
154,PSFE,36889,stocks
155,PTON,36634,stocks
156,JMIA,36618,stocks
157,TTNP,35926,stocks
158,CIDM,35786,stocks
159,NCLH,35655,stocks
160,JDST,35540,etf
161,GRPN,35519,stocks
162,BCRX,35518,stocks
163,TRCH,35267,unavailable
164,SESN,34835,unavailable
165,CODX,34752,stocks
166,UAL,34218,stocks
167,RAD,34181,stocks
168,LUV,34005,stocks
169,TTCF,33837,stocks
170,FSLY,33835,stocks
171,PRPO,33650,stocks
172,BIOL,33474,stocks
173,XXII,33435,stocks
174,CLSK,33306,stocks
175,NBEV,33273,unavailable
176,GNOG,32965,unavailable
177,HD,32955,stocks
178,SAVA,32586,stocks
179,PENN,32433,stocks
180,OPGN,32420,stocks
181,DUST,32411,etf
182,AMRN,32212,stocks
183,AEZS,31963,stocks
184,ADXS,31942,stocks
185,WWR,31858,stocks
186,ACST,31499,stocks
187,XL,31483,unavailable
188,IQ,31247,stocks
189,CLVS,31136,unavailable
190,ZNGA,31026,unavailable
191,X,30747,stocks
192,TDOC,30739,stocks
193,LYFT,30710,stocks
194,BOXL,30673,stocks
195,C,30588,stocks
196,GLBS,30504,stocks
197,IGC,30351,stocks
198,TGT,30267,stocks
199,OSTK,30083,stocks
200,EBON,30022,stocks
201,ETSY,29744,stocks
202,SPOT,29736,stocks
203,PSTH,29626,unavailable
204,OPK,29440,stocks
205,NXTD,29368,unavailable
206,SNOW,29223,stocks
207,IZEA,29142,stocks
208,VBIV,29121,stocks
209,HEPA,28908,stocks
210,LULU,28815,stocks
211,AIKI,28665,unavailable
212,MCD,28517,stocks
213,CRSP,28507,stocks
214,ENPH,28350,stocks
215,LI,27800,stocks
216,SUNW,27672,stocks
217,CLSN,27665,stocks
218,CRWD,27534,stocks
219,MGM,27359,stocks
220,WORK,27320,unavailable
221,WISH,27312,stocks
222,TRVN,27199,stocks
223,OEG,27032,stocks
224,OGI,26970,stocks
225,VXX,26847,etf
226,THCB,26789,unavailable
227,AIM,26778,stocks
228,SEEL,26706,stocks
229,CLNE,26634,stocks
230,ITRM,26600,stocks
231,ZSAN,26436,unavailable
232,RCL,26286,stocks
233,ADMP,26219,stocks
234,ABBV,26128,stocks
235,TEVA,26010,stocks
236,DGLY,25854,stocks
237,GS,25850,stocks
238,RMO,25820,unavailable
239,WATT,25758,stocks
240,DOCU,25594,stocks
241,DCTH,25584,stocks
242,EYES,25547,stocks
243,KNDI,25480,stocks
244,AVEO,25446,unavailable
245,NETE,25443,unavailable
246,EARS,25428,unavailable
247,POAI,25343,stocks
248,FSLR,25201,stocks
249,TTD,25126,stocks
250,EXPR,25064,stocks
251,GOEV,25007,stocks
252,STEM,24818,stocks
253,KMPH,24645,unavailable
254,M,24617,stocks
255,APXT,24606,unavailable
256,SYN,24557,unavailable
257,LEV,24441,stocks
258,PTN,24402,stocks
259,UWMC,24378,stocks
260,MA,24345,stocks
261,VSTM,24295,stocks
262,DDD,24216,stocks
263,IVR,24216,stocks
264,XELA,23981,stocks
265,DNN,23969,stocks
266,HUSA,23965,stocks
267,CARA,23957,stocks
268,CAT,23945,stocks
269,ADBE,23857,stocks
270,ALT,23853,stocks
271,CLF,23836,stocks
272,DFFN,23771,stocks
273,FEYE,23768,unavailable
274,SVRA,23735,stocks
275,AMRS,23561,stocks
276,IBB,23392,etf
277,LODE,23385,stocks
278,GUSH,23380,etf
279,MBRX,23301,stocks
280,FRSX,23214,stocks
281,TBLT,23053,stocks
282,OXY,22968,stocks
283,CVS,22958,stocks
284,SAVE,22940,stocks
285,NUWE,22869,stocks
286,WYNN,22826,stocks
287,ATNM,22749,stocks
288,LAZR,22662,stocks
289,BBBY,22626,unavailable
290,CRBP,22571,stocks
291,HOFV,22567,stocks
292,TSM,22560,stocks
293,GENE,22552,stocks
294,FDX,22550,stocks
295,SPI,22379,stocks
296,SQQQ,22369,etf
297,MRO,22224,stocks
298,AMAT,22055,stocks
299,FCX,22021,stocks
300,AYRO,22007,stocks
301,PHUN,21908,stocks
302,CHEK,21807,stocks
303,SPWR,21795,stocks
304,MNMD,21760,stocks
305,HITI,21709,stocks
306,TXMD,21680,stocks
307,TELL,21674,stocks
308,CBAT,21550,stocks
309,CSCW,21534,unavailable
310,PULM,21489,stocks
311,CAPR,21473,stocks
312,DBX,21266,stocks
313,GTE,21202,stocks
314,AHT,21187,stocks
315,ADMA,21113,stocks
316,JBLU,21104,stocks
317,CVX,21078,stocks
318,VUZI,20933,stocks
319,ANY,20907,stocks
320,IWM,20822,etf
321,DSS,20742,stocks
322,INUV,20718,stocks
323,CRMD,20618,stocks
324,DARE,20564,stocks
325,LMT,20469,stocks
326,GOLD,20424,stocks
327,CTXR,20411,stocks
328,ABIO,20408,stocks
329,KOSS,20399,stocks
330,NET,20339,stocks
331,LMFA,20323,stocks
332,ORCL,20244,stocks
333,FTFT,19998,stocks
334,OAS,19936,unavailable
335,EA,19687,stocks
336,PSHG,19593,stocks
337,LMND,19582,stocks
338,IPOF,19464,unavailable
339,EBAY,19345,stocks
340,NBY,19337,stocks
341,CHWY,19302,stocks
342,LCAHU,19208,stocks
343,WTRH,19208,unavailable
344,RIG,19115,stocks
345,GERN,19114,stocks
346,DVAX,18971,stocks
347,ARKG,18960,etf
348,VLDR,18941,unavailable
349,APDN,18937,stocks
350,ESGC,18920,unavailable
351,AMPE,18804,stocks
352,AZN,18745,stocks
353,SRPT,18729,stocks
354,SE,18670,stocks
355,SIRI,18667,stocks
356,LAC,18656,stocks
357,ZYNE,18631,stocks
358,APPS,18625,stocks
359,BLDP,18556,stocks
360,SONN,18534,stocks
361,BPTH,18458,stocks
362,CRSR,18324,stocks
363,PCG,18299,stocks
364,GBR,18296,stocks
365,MFA,17927,stocks
366,BIIB,17904,stocks
367,LKCO,17875,stocks
368,MJ,17841,etf
369,VKTX,17786,stocks
370,NBRV,17737,stocks
371,COCP,17729,stocks
372,CRDF,17726,stocks
373,ENG,17672,stocks
374,ISR,17632,unavailable
375,VOO,17595,etf
376,MO,17427,stocks
377,OCUP,17423,stocks
378,AVGO,17376,stocks
379,CETX,17356,stocks
380,MMM,17331,stocks
381,PSTV,17323,stocks
382,ASRT,17297,stocks
383,AGRX,17175,stocks
384,PALI,17092,stocks
385,OPEN,17064,stocks
386,EVFM,17036,stocks
387,PG,17033,stocks
388,CNET,16936,stocks
389,WLL,16935,unavailable
390,CVM,16915,stocks
391,MYSZ,16775,stocks
392,MOMO,16677,stocks
393,OKTA,16652,stocks
394,HSTO,16641,stocks
395,ACHV,16586,stocks
396,PHIO,16538,stocks
397,BZUN,16497,stocks
398,LABU,16487,etf
399,AI,16413,stocks
400,VIAC,16332,stocks
401,HAL,16319,stocks
402,BP,16183,stocks
403,ARVL,16164,stocks
404,BMY,16105,stocks
405,UPS,16072,stocks
406,RKDA,16014,stocks
407,ZEV,16011,stocks
408,SWKS,15929,stocks
409,VYNT,15904,stocks
410,LPCN,15886,stocks
411,CEMI,15808,unavailable
412,PLX,15784,stocks
413,AVXL,15779,stocks
414,MRK,15755,stocks
